Word,Document Frequency,Postings
diffi,1,"[{'course_id': 'MAT 5160', 'doc_id': 476, 'term_frequency': 2}]"
diffus,4,"[{'course_id': 'ADM 4307', 'doc_id': 56, 'term_frequency': 1}, {'course_id': 'ADM 4316', 'doc_id': 60, 'term_frequency': 1}, {'course_id': 'MAT 5133', 'doc_id': 460, 'term_frequency': 1}, {'course_id': 'CSI 5308', 'doc_id': 642, 'term_frequency': 1}]"
digit,8,"[{'course_id': 'ADM 4326', 'doc_id': 66, 'term_frequency': 2}, {'course_id': 'MAT 5343', 'doc_id': 528, 'term_frequency': 1}, {'course_id': 'CSI 4108', 'doc_id': 574, 'term_frequency': 1}, {'course_id': 'CSI 4133', 'doc_id': 582, 'term_frequency': 1}, {'course_id': 'CSI 5116', 'doc_id': 601, 'term_frequency': 2}, {'course_id': 'CSI 5124', 'doc_id': 605, 'term_frequency': 1}, {'course_id': 'CSI 5168', 'doc_id': 634, 'term_frequency': 1}, {'course_id': 'CSI 5380', 'doc_id': 646, 'term_frequency': 1}]"
dimens,9,"[{'course_id': 'ADM 5361', 'doc_id': 113, 'term_frequency': 1}, {'course_id': 'ADM 6362', 'doc_id': 155, 'term_frequency': 1}, {'course_id': 'MAT 1332', 'doc_id': 367, 'term_frequency': 1}, {'course_id': 'MAT 1339', 'doc_id': 368, 'term_frequency': 2}, {'course_id': 'MAT 5144', 'doc_id': 465, 'term_frequency': 2}, {'course_id': 'MAT 5181', 'doc_id': 494, 'term_frequency': 1}, {'course_id': 'CSI 4130', 'doc_id': 581, 'term_frequency': 1}, {'course_id': 'CSI 5154', 'doc_id': 626, 'term_frequency': 1}, {'course_id': 'CSI 5167', 'doc_id': 633, 'term_frequency': 1}]"
dimension,7,"[{'course_id': 'MAT 4142', 'doc_id': 419, 'term_frequency': 1}, {'course_id': 'MAT 5133', 'doc_id': 460, 'term_frequency': 1}, {'course_id': 'MAT 5317', 'doc_id': 516, 'term_frequency': 1}, {'course_id': 'CSI 4142', 'doc_id': 587, 'term_frequency': 1}, {'course_id': 'CSI 5115', 'doc_id': 600, 'term_frequency': 1}, {'course_id': 'CSI 5154', 'doc_id': 626, 'term_frequency': 1}, {'course_id': 'CSI 5155', 'doc_id': 627, 'term_frequency': 1}]"
dimorph,1,"[{'course_id': 'PSY 3121', 'doc_id': 187, 'term_frequency': 1}]"
diophantin,2,"[{'course_id': 'MAT 3166', 'doc_id': 400, 'term_frequency': 1}, {'course_id': 'MAT 4167', 'doc_id': 428, 'term_frequency': 1}]"
direct,17,"[{'course_id': 'ADM 4318', 'doc_id': 62, 'term_frequency': 1}, {'course_id': 'PSY 4110', 'doc_id': 208, 'term_frequency': 1}, {'course_id': 'PSY 4310', 'doc_id': 221, 'term_frequency': 1}, {'course_id': 'PSY 6042', 'doc_id': 265, 'term_frequency': 2}, {'course_id': 'PSY 6106', 'doc_id': 269, 'term_frequency': 1}, {'course_id': 'PSY 7916', 'doc_id': 356, 'term_frequency': 1}, {'course_id': 'PSY 8916', 'doc_id': 357, 'term_frequency': 1}, {'course_id': 'MAT 1303', 'doc_id': 360, 'term_frequency': 1}, {'course_id': 'MAT 1322', 'doc_id': 364, 'term_frequency': 1}, {'course_id': 'MAT 1325', 'doc_id': 365, 'term_frequency': 1}, {'course_id': 'MAT 1348', 'doc_id': 370, 'term_frequency': 2}, {'course_id': 'MAT 2141', 'doc_id': 379, 'term_frequency': 1}, {'course_id': 'MAT 2143', 'doc_id': 380, 'term_frequency': 1}, {'course_id': 'MAT 2362', 'doc_id': 386, 'term_frequency': 1}, {'course_id': 'MAT 3143', 'doc_id': 397, 'term_frequency': 1}, {'course_id': 'MAT 4348', 'doc_id': 435, 'term_frequency': 1}, {'course_id': 'MAT 5105', 'doc_id': 451, 'term_frequency': 1}]"
directli,1,"[{'course_id': 'ADM 4903', 'doc_id': 95, 'term_frequency': 1}]"
director,3,"[{'course_id': 'PSY 4110', 'doc_id': 208, 'term_frequency': 1}, {'course_id': 'PSY 4310', 'doc_id': 221, 'term_frequency': 1}]"
disabl,5,"[{'course_id': 'PSY 4122', 'doc_id': 209, 'term_frequency': 1}, {'course_id': 'PSY 6113', 'doc_id': 272, 'term_frequency': 1}, {'course_id': 'PSY 6147', 'doc_id': 288, 'term_frequency': 2}, {'course_id': 'PSY 6391', 'doc_id': 306, 'term_frequency': 1}]"
disciplin,1,"[{'course_id': 'ADM 3319', 'doc_id': 28, 'term_frequency': 2}]"
discoveri,4,"[{'course_id': 'ADM 4316', 'doc_id': 60, 'term_frequency': 1}, {'course_id': 'MAT 5181', 'doc_id': 494, 'term_frequency': 1}, {'course_id': 'CSI 5142', 'doc_id': 618, 'term_frequency': 1}, {'course_id': 'CSI 5169', 'doc_id': 635, 'term_frequency': 1}]"
discret,10,"[{'course_id': 'MAT 1330', 'doc_id': 366, 'term_frequency': 1}, {'course_id': 'MAT 1348', 'doc_id': 370, 'term_frequency': 1}, {'course_id': 'MAT 2342', 'doc_id': 383, 'term_frequency': 1}, {'course_id': 'MAT 2377', 'doc_id': 389, 'term_frequency': 1}, {'course_id': 'MAT 4371', 'doc_id': 437, 'term_frequency': 1}, {'course_id': 'MAT 4372', 'doc_id': 438, 'term_frequency': 1}, {'course_id': 'MAT 5160', 'doc_id': 476, 'term_frequency': 1}, {'course_id': 'MAT 5343', 'doc_id': 528, 'term_frequency': 2}, {'course_id': 'CSI 2101', 'doc_id': 556, 'term_frequency': 1}, {'course_id': 'CSI 4124', 'doc_id': 578, 'term_frequency': 1}]"
discrimin,5,"[{'course_id': 'ADM 6301', 'doc_id': 127, 'term_frequency': 1}, {'course_id': 'PSY 5121', 'doc_id': 237, 'term_frequency': 1}, {'course_id': 'MAT 4373', 'doc_id': 439, 'term_frequency': 1}, {'course_id': 'MAT 4375', 'doc_id': 441, 'term_frequency': 1}, {'course_id': 'CSI 5185', 'doc_id': 641, 'term_frequency': 1}]"
discuss,17,"[{'course_id': 'ADM 3317', 'doc_id': 26, 'term_frequency': 1}, {'course_id': 'ADM 4307', 'doc_id': 56, 'term_frequency': 1}, {'course_id': 'ADM 4342', 'doc_id': 75, 'term_frequency': 1}, {'course_id': 'PSY 6114', 'doc_id': 273, 'term_frequency': 1}, {'course_id': 'PSY 6127', 'doc_id': 280, 'term_frequency': 1}, {'course_id': 'PSY 6155', 'doc_id': 292, 'term_frequency': 1}, {'course_id': 'PSY 6191', 'doc_id': 303, 'term_frequency': 1}, {'course_id': 'PSY 6903', 'doc_id': 308, 'term_frequency': 1}, {'course_id': 'PSY 6927', 'doc_id': 315, 'term_frequency': 1}, {'course_id': 'PSY 6954', 'doc_id': 325, 'term_frequency': 1}, {'course_id': 'PSY 6991', 'doc_id': 334, 'term_frequency': 3}, {'course_id': 'PSY 7107', 'doc_id': 341, 'term_frequency': 1}, {'course_id': 'PSY 7190', 'doc_id': 349, 'term_frequency': 1}, {'course_id': 'PSY 7907', 'doc_id': 353, 'term_frequency': 1}, {'course_id': 'CSI 5142', 'doc_id': 618, 'term_frequency': 1}, {'course_id': 'CSI 5308', 'doc_id': 642, 'term_frequency': 1}, {'course_id': 'CSI 5386', 'doc_id': 647, 'term_frequency': 1}]"
discutã©,1,"[{'course_id': 'PSY 6991', 'doc_id': 334, 'term_frequency': 2}]"
disord,12,"[{'course_id': 'PSY 3171', 'doc_id': 197, 'term_frequency': 1}, {'course_id': 'PSY 4105', 'doc_id': 207, 'term_frequency': 2}, {'course_id': 'PSY 4327', 'doc_id': 222, 'term_frequency': 1}, {'course_id': 'PSY 5125', 'doc_id': 238, 'term_frequency': 1}, {'course_id': 'PSY 5924', 'doc_id': 254, 'term_frequency': 1}, {'course_id': 'PSY 6122', 'doc_id': 278, 'term_frequency': 1}, {'course_id': 'PSY 6167', 'doc_id': 297, 'term_frequency': 3}, {'course_id': 'PSY 6920', 'doc_id': 313, 'term_frequency': 1}, {'course_id': 'PSY 6963', 'doc_id': 328, 'term_frequency': 1}, {'course_id': 'PSY 7109', 'doc_id': 343, 'term_frequency': 1}, {'course_id': 'PSY 7123', 'doc_id': 346, 'term_frequency': 1}, {'course_id': 'PSY 7909', 'doc_id': 355, 'term_frequency': 1}]"
dispers,1,"[{'course_id': 'ADM 2303', 'doc_id': 7, 'term_frequency': 1}]"
display,3,"[{'course_id': 'PSY 6144', 'doc_id': 285, 'term_frequency': 2}, {'course_id': 'PSY 6941', 'doc_id': 319, 'term_frequency': 2}, {'course_id': 'CSI 4130', 'doc_id': 581, 'term_frequency': 1}]"
disrupt,1,"[{'course_id': 'ADM 4312', 'doc_id': 58, 'term_frequency': 1}]"
distanc,3,"[{'course_id': 'ADM 6271', 'doc_id': 118, 'term_frequency': 1}, {'course_id': 'ADM 6373', 'doc_id': 159, 'term_frequency': 1}, {'course_id': 'CSI 5106', 'doc_id': 595, 'term_frequency': 1}]"
distinct,2,"[{'course_id': 'ADM 2341', 'doc_id': 13, 'term_frequency': 1}, {'course_id': 'CSI 4124', 'doc_id': 578, 'term_frequency': 1}]"
distinguish,2,"[{'course_id': 'ADM 1101', 'doc_id': 1, 'term_frequency': 1}, {'course_id': 'ADM 1301', 'doc_id': 3, 'term_frequency': 1}]"
distribut,38,"[{'course_id': 'ADM 2303', 'doc_id': 7, 'term_frequency': 3}, {'course_id': 'ADM 2320', 'doc_id': 10, 'term_frequency': 1}, {'course_id': 'ADM 4344', 'doc_id': 76, 'term_frequency': 1}, {'course_id': 'ADM 5300', 'doc_id': 102, 'term_frequency': 1}, {'course_id': 'ADM 5320', 'doc_id': 104, 'term_frequency': 1}, {'course_id': 'ADM 5380', 'doc_id': 115, 'term_frequency': 1}, {'course_id': 'ADM 6420', 'doc_id': 169, 'term_frequency': 1}, {'course_id': 'PSY 2106', 'doc_id': 174, 'term_frequency': 1}, {'course_id': 'MAT 1371', 'doc_id': 372, 'term_frequency': 1}, {'course_id': 'MAT 1372', 'doc_id': 373, 'term_frequency': 2}, {'course_id': 'MAT 1373', 'doc_id': 374, 'term_frequency': 1}, {'course_id': 'MAT 2371', 'doc_id': 387, 'term_frequency': 2}, {'course_id': 'MAT 2377', 'doc_id': 389, 'term_frequency': 2}, {'course_id': 'MAT 2379', 'doc_id': 390, 'term_frequency': 1}, {'course_id': 'MAT 3166', 'doc_id': 400, 'term_frequency': 1}, {'course_id': 'MAT 3375', 'doc_id': 408, 'term_frequency': 1}, {'course_id': 'MAT 3378', 'doc_id': 410, 'term_frequency': 1}, {'course_id': 'MAT 4170', 'doc_id': 429, 'term_frequency': 3}, {'course_id': 'MAT 4175', 'doc_id': 431, 'term_frequency': 1}, {'course_id': 'MAT 4375', 'doc_id': 441, 'term_frequency': 1}, {'course_id': 'MAT 5133', 'doc_id': 460, 'term_frequency': 1}, {'course_id': 'MAT 5162', 'doc_id': 478, 'term_frequency': 1}, {'course_id': 'MAT 5170', 'doc_id': 485, 'term_frequency': 3}, {'course_id': 'MAT 5198', 'doc_id': 506, 'term_frequency': 1}, {'course_id': 'MAT 5375', 'doc_id': 530, 'term_frequency': 1}, {'course_id': 'CSI 3130', 'doc_id': 565, 'term_frequency': 1}, {'course_id': 'CSI 4109', 'doc_id': 575, 'term_frequency': 2}, {'course_id': 'CSI 5113', 'doc_id': 599, 'term_frequency': 1}, {'course_id': 'CSI 5115', 'doc_id': 600, 'term_frequency': 1}, {'course_id': 'CSI 5128', 'doc_id': 608, 'term_frequency': 1}, {'course_id': 'CSI 5146', 'doc_id': 619, 'term_frequency': 1}, {'course_id': 'CSI 5161', 'doc_id': 628, 'term_frequency': 7}, {'course_id': 'CSI 5167', 'doc_id': 633, 'term_frequency': 1}, {'course_id': 'CSI 5174', 'doc_id': 637, 'term_frequency': 2}, {'course_id': 'CSI 5183', 'doc_id': 640, 'term_frequency': 1}, {'course_id': 'CSI 5308', 'doc_id': 642, 'term_frequency': 4}, {'course_id': 'CSI 5311', 'doc_id': 643, 'term_frequency': 5}]"
diverg,1,"[{'course_id': 'MAT 2122', 'doc_id': 377, 'term_frequency': 3}]"
divers,4,"[{'course_id': 'ADM 3319', 'doc_id': 28, 'term_frequency': 1}, {'course_id': 'ADM 4336', 'doc_id': 69, 'term_frequency': 1}, {'course_id': 'ADM 5331', 'doc_id': 106, 'term_frequency': 1}, {'course_id': 'ADM 6336', 'doc_id': 144, 'term_frequency': 1}]"
divid,4,"[{'course_id': 'ADM 6316', 'doc_id': 131, 'term_frequency': 1}, {'course_id': 'PSY 6145', 'doc_id': 286, 'term_frequency': 1}, {'course_id': 'PSY 6945', 'doc_id': 320, 'term_frequency': 1}, {'course_id': 'CSI 3105', 'doc_id': 563, 'term_frequency': 1}]"
dividend,3,"[{'course_id': 'ADM 3350', 'doc_id': 40, 'term_frequency': 1}, {'course_id': 'ADM 4352', 'doc_id': 83, 'term_frequency': 1}, {'course_id': 'ADM 6350', 'doc_id': 149, 'term_frequency': 1}]"
divis,1,"[{'course_id': 'CSI 5128', 'doc_id': 608, 'term_frequency': 1}]"
divisor,2,"[{'course_id': 'MAT 4154', 'doc_id': 423, 'term_frequency': 1}, {'course_id': 'MAT 5149', 'doc_id': 470, 'term_frequency': 1}]"
divorc,1,"[{'course_id': 'PSY 3123', 'doc_id': 189, 'term_frequency': 1}]"
dna,2,"[{'course_id': 'CSI 4126', 'doc_id': 580, 'term_frequency': 2}, {'course_id': 'CSI 5102', 'doc_id': 593, 'term_frequency': 1}]"
document,2,"[{'course_id': 'PSY 2174', 'doc_id': 178, 'term_frequency': 1}, {'course_id': 'CSI 9997', 'doc_id': 665, 'term_frequency': 1}]"
domain,9,"[{'course_id': 'PSY 3306', 'doc_id': 202, 'term_frequency': 1}, {'course_id': 'PSY 4181', 'doc_id': 216, 'term_frequency': 1}, {'course_id': 'PSY 5824', 'doc_id': 252, 'term_frequency': 3}, {'course_id': 'PSY 6042', 'doc_id': 265, 'term_frequency': 2}, {'course_id': 'PSY 6127', 'doc_id': 280, 'term_frequency': 1}, {'course_id': 'PSY 6927', 'doc_id': 315, 'term_frequency': 1}, {'course_id': 'MAT 3143', 'doc_id': 397, 'term_frequency': 1}, {'course_id': 'MAT 3379', 'doc_id': 411, 'term_frequency': 2}, {'course_id': 'MAT 5192', 'doc_id': 500, 'term_frequency': 1}]"
donat,2,"[{'course_id': 'ADM 3357', 'doc_id': 43, 'term_frequency': 1}, {'course_id': 'ADM 4357', 'doc_id': 87, 'term_frequency': 1}]"
door,1,"[{'course_id': 'CSI 4108', 'doc_id': 574, 'term_frequency': 1}]"
dot,1,"[{'course_id': 'MAT 1339', 'doc_id': 368, 'term_frequency': 1}]"
doubl,2,"[{'course_id': 'MAT 2122', 'doc_id': 377, 'term_frequency': 1}, {'course_id': 'MAT 5192', 'doc_id': 500, 'term_frequency': 1}]"
download,1,"[{'course_id': 'ADM 6277', 'doc_id': 122, 'term_frequency': 1}]"
draw,1,"[{'course_id': 'ADM 6279', 'doc_id': 123, 'term_frequency': 1}]"
drawn,1,"[{'course_id': 'MAT 4378', 'doc_id': 444, 'term_frequency': 1}]"
dream,3,"[{'course_id': 'PSY 4327', 'doc_id': 222, 'term_frequency': 4}, {'course_id': 'PSY 6167', 'doc_id': 297, 'term_frequency': 3}, {'course_id': 'PSY 6963', 'doc_id': 328, 'term_frequency': 1}]"
driven,3,"[{'course_id': 'ADM 4363', 'doc_id': 88, 'term_frequency': 1}, {'course_id': 'CSI 2120', 'doc_id': 558, 'term_frequency': 1}]"
dropout,1,"[{'course_id': 'PSY 3174', 'doc_id': 199, 'term_frequency': 2}]"
drug,2,"[{'course_id': 'ADM 6381', 'doc_id': 162, 'term_frequency': 1}]"
dsm,1,"[{'course_id': 'PSY 5102', 'doc_id': 229, 'term_frequency': 4}]"
du,3,"[{'course_id': 'PSY 5824', 'doc_id': 252, 'term_frequency': 6}, {'course_id': 'PSY 6042', 'doc_id': 265, 'term_frequency': 2}]"
dual,3,"[{'course_id': 'MAT 2141', 'doc_id': 379, 'term_frequency': 1}, {'course_id': 'MAT 4126', 'doc_id': 416, 'term_frequency': 1}, {'course_id': 'MAT 5126', 'doc_id': 457, 'term_frequency': 1}]"
dualiti,4,"[{'course_id': 'ADM 6383', 'doc_id': 164, 'term_frequency': 1}, {'course_id': 'MAT 2342', 'doc_id': 383, 'term_frequency': 1}, {'course_id': 'MAT 4387', 'doc_id': 445, 'term_frequency': 1}, {'course_id': 'CSI 4150', 'doc_id': 589, 'term_frequency': 1}]"
dun,1,"[{'course_id': 'PSY 6042', 'doc_id': 265, 'term_frequency': 6}]"
durat,1,"[{'course_id': 'ADM 3351', 'doc_id': 41, 'term_frequency': 6}, {'course_id': 'ADM 3351', 'doc_id': 41, 'term_frequency': 1}]"
dynam,16,"[{'course_id': 'ADM 2336', 'doc_id': 11, 'term_frequency': 1}, {'course_id': 'ADM 3317', 'doc_id': 26, 'term_frequency': 1}, {'course_id': 'ADM 3319', 'doc_id': 28, 'term_frequency': 1}, {'course_id': 'ADM 5330', 'doc_id': 105, 'term_frequency': 1}, {'course_id': 'PSY 6117', 'doc_id': 276, 'term_frequency': 1}, {'course_id': 'PSY 6906', 'doc_id': 311, 'term_frequency': 1}, {'course_id': 'MAT 1330', 'doc_id': 366, 'term_frequency': 1}, {'course_id': 'MAT 2342', 'doc_id': 383, 'term_frequency': 1}, {'course_id': 'MAT 5133', 'doc_id': 460, 'term_frequency': 1}, {'course_id': 'MAT 5197', 'doc_id': 505, 'term_frequency': 1}, {'course_id': 'CSI 3105', 'doc_id': 563, 'term_frequency': 1}, {'course_id': 'CSI 4124', 'doc_id': 578, 'term_frequency': 2}, {'course_id': 'CSI 5102', 'doc_id': 593, 'term_frequency': 1}, {'course_id': 'CSI 5135', 'doc_id': 612, 'term_frequency': 1}, {'course_id': 'CSI 5151', 'doc_id': 623, 'term_frequency': 1}, {'course_id': 'CSI 5312', 'doc_id': 644, 'term_frequency': 1}]"
dynamicsthi,1,"[{'course_id': 'MAT 5131', 'doc_id': 459, 'term_frequency': 1}]"
dã©tude,1,"[{'course_id': 'PSY 5824', 'doc_id': 252, 'term_frequency': 3}]"
dã©velopp,1,"[{'course_id': 'PSY 5824', 'doc_id': 252, 'term_frequency': 6}]"
e,10,"[{'course_id': 'ADM 3363', 'doc_id': 46, 'term_frequency': 1}, {'course_id': 'ADM 4326', 'doc_id': 66, 'term_frequency': 1}, {'course_id': 'ADM 6274', 'doc_id': 119, 'term_frequency': 2}, {'course_id': 'ADM 6277', 'doc_id': 122, 'term_frequency': 4}, {'course_id': 'ADM 6286', 'doc_id': 125, 'term_frequency': 2}, {'course_id': 'CSI 4108', 'doc_id': 574, 'term_frequency': 2}, {'course_id': 'CSI 4139', 'doc_id': 584, 'term_frequency': 1}, {'course_id': 'CSI 5137', 'doc_id': 614, 'term_frequency': 1}, {'course_id': 'CSI 5380', 'doc_id': 646, 'term_frequency': 4}, {'course_id': 'CSI 5389', 'doc_id': 649, 'term_frequency': 1}]"
eacj,2,"[{'course_id': 'CSI 5149', 'doc_id': 622, 'term_frequency': 1}, {'course_id': 'CSI 5151', 'doc_id': 623, 'term_frequency': 1}]"
eagj,1,"[{'course_id': 'CSI 5149', 'doc_id': 622, 'term_frequency': 1}]"
earli,2,"[{'course_id': 'ADM 6395', 'doc_id': 167, 'term_frequency': 1}, {'course_id': 'PSY 3378', 'doc_id': 205, 'term_frequency': 1}]"
earlier,1,"[{'course_id': 'ADM 6316', 'doc_id': 131, 'term_frequency': 1}]"
earn,1,"[{'course_id': 'ADM 4344', 'doc_id': 76, 'term_frequency': 1}]"
ebc,2,"[{'course_id': 'CSI 5175', 'doc_id': 638, 'term_frequency': 1}, {'course_id': 'CSI 5380', 'doc_id': 646, 'term_frequency': 1}]"
ebc5389,1,"[{'course_id': 'CSI 5389', 'doc_id': 649, 'term_frequency': 1}]"
ecologist,2,"[{'course_id': 'PSY 6117', 'doc_id': 276, 'term_frequency': 1}, {'course_id': 'PSY 6906', 'doc_id': 311, 'term_frequency': 1}]"
econom,19,"[{'course_id': 'ADM 1101', 'doc_id': 1, 'term_frequency': 1}, {'course_id': 'ADM 1301', 'doc_id': 3, 'term_frequency': 1}, {'course_id': 'ADM 2313', 'doc_id': 9, 'term_frequency': 1}, {'course_id': 'ADM 3317', 'doc_id': 26, 'term_frequency': 1}, {'course_id': 'ADM 3318', 'doc_id': 27, 'term_frequency': 1}, {'course_id': 'ADM 3337', 'doc_id': 35, 'term_frequency': 2}, {'course_id': 'ADM 3358', 'doc_id': 44, 'term_frequency': 1}, {'course_id': 'ADM 4319', 'doc_id': 63, 'term_frequency': 1}, {'course_id': 'ADM 5310', 'doc_id': 103, 'term_frequency': 1}, {'course_id': 'ADM 5351', 'doc_id': 110, 'term_frequency': 1}, {'course_id': 'ADM 5352', 'doc_id': 111, 'term_frequency': 2}, {'course_id': 'ADM 6302', 'doc_id': 128, 'term_frequency': 1}, {'course_id': 'ADM 6316', 'doc_id': 131, 'term_frequency': 1}, {'course_id': 'ADM 6367', 'doc_id': 157, 'term_frequency': 1}, {'course_id': 'ADM 6381', 'doc_id': 162, 'term_frequency': 1}, {'course_id': 'ADM 6393', 'doc_id': 166, 'term_frequency': 1}, {'course_id': 'MAT 4371', 'doc_id': 437, 'term_frequency': 1}, {'course_id': 'CSI 5115', 'doc_id': 600, 'term_frequency': 1}, {'course_id': 'CSI 5122', 'doc_id': 604, 'term_frequency': 1}]"
econometr,2,"[{'course_id': 'ADM 4307', 'doc_id': 56, 'term_frequency': 1}, {'course_id': 'ADM 6302', 'doc_id': 128, 'term_frequency': 1}]"
economi,6,"[{'course_id': 'ADM 4312', 'doc_id': 58, 'term_frequency': 3}, {'course_id': 'ADM 4317', 'doc_id': 61, 'term_frequency': 1}, {'course_id': 'ADM 4319', 'doc_id': 63, 'term_frequency': 1}, {'course_id': 'ADM 5352', 'doc_id': 111, 'term_frequency': 1}, {'course_id': 'ADM 6274', 'doc_id': 119, 'term_frequency': 1}, {'course_id': 'ADM 6286', 'doc_id': 125, 'term_frequency': 1}]"
ecosystem,1,"[{'course_id': 'ADM 4377', 'doc_id': 89, 'term_frequency': 1}]"
edg,2,"[{'course_id': 'MAT 4348', 'doc_id': 435, 'term_frequency': 1}, {'course_id': 'MAT 5105', 'doc_id': 451, 'term_frequency': 1}]"
edit,1,"[{'course_id': 'CSI 5147', 'doc_id': 620, 'term_frequency': 1}]"
educ,2,"[{'course_id': 'ADM 4964', 'doc_id': 98, 'term_frequency': 1}]"
eeg,2,"[{'course_id': 'PSY 6114', 'doc_id': 273, 'term_frequency': 2}]"
effect,16,"[{'course_id': 'ADM 1100', 'doc_id': 0, 'term_frequency': 1}, {'course_id': 'ADM 1300', 'doc_id': 2, 'term_frequency': 1}, {'course_id': 'ADM 2381', 'doc_id': 18, 'term_frequency': 2}, {'course_id': 'ADM 3319', 'doc_id': 28, 'term_frequency': 1}, {'course_id': 'ADM 4329', 'doc_id': 68, 'term_frequency': 1}, {'course_id': 'ADM 4337', 'doc_id': 70, 'term_frequency': 1}, {'course_id': 'ADM 4338', 'doc_id': 71, 'term_frequency': 1}, {'course_id': 'ADM 6315', 'doc_id': 130, 'term_frequency': 1}, {'course_id': 'ADM 6319', 'doc_id': 132, 'term_frequency': 1}, {'course_id': 'ADM 6323', 'doc_id': 136, 'term_frequency': 1}, {'course_id': 'ADM 6330', 'doc_id': 140, 'term_frequency': 1}, {'course_id': 'ADM 6335', 'doc_id': 143, 'term_frequency': 1}, {'course_id': 'ADM 6336', 'doc_id': 144, 'term_frequency': 1}, {'course_id': 'PSY 3126', 'doc_id': 191, 'term_frequency': 1}, {'course_id': 'PSY 7109', 'doc_id': 343, 'term_frequency': 2}]"
efficaci,1,"[{'course_id': 'PSY 3109', 'doc_id': 186, 'term_frequency': 2}]"
effici,10,"[{'course_id': 'ADM 2302', 'doc_id': 6, 'term_frequency': 1}, {'course_id': 'ADM 3352', 'doc_id': 42, 'term_frequency': 1}, {'course_id': 'ADM 6382', 'doc_id': 163, 'term_frequency': 1}, {'course_id': 'MAT 4175', 'doc_id': 431, 'term_frequency': 1}, {'course_id': 'MAT 5375', 'doc_id': 530, 'term_frequency': 1}, {'course_id': 'CSI 5121', 'doc_id': 603, 'term_frequency': 1}, {'course_id': 'CSI 5124', 'doc_id': 605, 'term_frequency': 1}, {'course_id': 'CSI 5127', 'doc_id': 607, 'term_frequency': 1}, {'course_id': 'CSI 5131', 'doc_id': 610, 'term_frequency': 1}, {'course_id': 'CSI 5148', 'doc_id': 621, 'term_frequency': 1}]"
effort,1,"[{'course_id': 'ADM 4337', 'doc_id': 70, 'term_frequency': 1}]"
eg,16,"[{'course_id': 'ADM 4336', 'doc_id': 69, 'term_frequency': 1}, {'course_id': 'ADM 6277', 'doc_id': 122, 'term_frequency': 3}, {'course_id': 'PSY 3126', 'doc_id': 191, 'term_frequency': 1}, {'course_id': 'PSY 4327', 'doc_id': 222, 'term_frequency': 1}, {'course_id': 'PSY 5102', 'doc_id': 229, 'term_frequency': 1}, {'course_id': 'PSY 5103', 'doc_id': 230, 'term_frequency': 1}, {'course_id': 'PSY 5202', 'doc_id': 243, 'term_frequency': 3}, {'course_id': 'PSY 6002', 'doc_id': 256, 'term_frequency': 1}, {'course_id': 'PSY 6114', 'doc_id': 273, 'term_frequency': 2}, {'course_id': 'PSY 6115', 'doc_id': 274, 'term_frequency': 2}, {'course_id': 'PSY 6903', 'doc_id': 308, 'term_frequency': 2}, {'course_id': 'PSY 6904', 'doc_id': 309, 'term_frequency': 2}, {'course_id': 'MAT 1341', 'doc_id': 369, 'term_frequency': 1}, {'course_id': 'MAT 5160', 'doc_id': 476, 'term_frequency': 1}, {'course_id': 'CSI 5124', 'doc_id': 605, 'term_frequency': 1}, {'course_id': 'CSI 5163', 'doc_id': 629, 'term_frequency': 1}]"
egyptian,1,"[{'course_id': 'MAT 3100', 'doc_id': 392, 'term_frequency': 1}]"
eigenvalu,6,"[{'course_id': 'MAT 1302', 'doc_id': 359, 'term_frequency': 1}, {'course_id': 'MAT 1332', 'doc_id': 367, 'term_frequency': 1}, {'course_id': 'MAT 1341', 'doc_id': 369, 'term_frequency': 1}, {'course_id': 'MAT 2141', 'doc_id': 379, 'term_frequency': 1}, {'course_id': 'MAT 2342', 'doc_id': 383, 'term_frequency': 1}, {'course_id': 'MAT 3341', 'doc_id': 403, 'term_frequency': 1}]"
eigenvector,5,"[{'course_id': 'MAT 1302', 'doc_id': 359, 'term_frequency': 1}, {'course_id': 'MAT 1332', 'doc_id': 367, 'term_frequency': 1}, {'course_id': 'MAT 1341', 'doc_id': 369, 'term_frequency': 1}, {'course_id': 'MAT 2141', 'doc_id': 379, 'term_frequency': 1}, {'course_id': 'MAT 2342', 'doc_id': 383, 'term_frequency': 1}]"
eight,2,"[{'course_id': 'ADM 4904', 'doc_id': 96, 'term_frequency': 1}, {'course_id': 'ADM 4905', 'doc_id': 97, 'term_frequency': 1}]"
eilenberg,2,"[{'course_id': 'MAT 4157', 'doc_id': 425, 'term_frequency': 1}, {'course_id': 'MAT 5152', 'doc_id': 473, 'term_frequency': 1}]"
elabor,2,"[{'course_id': 'PSY 6158', 'doc_id': 293, 'term_frequency': 1}, {'course_id': 'PSY 6958', 'doc_id': 326, 'term_frequency': 1}]"
elder,1,"[{'course_id': 'PSY 3123', 'doc_id': 189, 'term_frequency': 1}]"
elect,1,"[{'course_id': 'CSI 5308', 'doc_id': 642, 'term_frequency': 1}]"
electr,1,"[{'course_id': 'ADM 6277', 'doc_id': 122, 'term_frequency': 1}]"
